allowed_adjacent,category,distance_m,link_a,link_b,model,normal_on_b,penetration_m,point_on_a_m,point_on_b_m,state
False,tower_pairs,0.012883544853070278,right_link_1,Tower,legacy_parameterized_baseline_proxy,"[-0.76003106555257, 0.4795412147027611, 0.4386262677911859]",0.0,"[0.29370234674383516, 0.08501319382650269, 0.394147022767708]","[0.3034942410666085, 0.07883500307798386, 0.38849596157288546]",step1_final
False,tower_pairs,0.012897685365343359,right_joint_2,Tower,legacy_parameterized_baseline_proxy,"[-0.6260297529951961, 0.6910534673869057, 0.3612919229339467]",0.0,"[0.2624265576975846, 0.08808068404636417, 0.3355204247205721]","[0.27050089248106024, 0.0791676938533783, 0.33086059517353017]",step1_final
False,tower_pairs,0.017344120885854908,right_link_3,Tower,legacy_parameterized_baseline_proxy,"[0.35063746592094736, 0.9143874340665128, -0.20235856273900324]",0.0,"[0.23026211050505888, 0.09585924440481694, 0.23417555113669505]","[0.22418061190901614, 0.07999999821186066, 0.2376852825111282]",step1_final
False,tower_pairs,0.01953074244280073,right_joint_1,Tower,legacy_parameterized_baseline_proxy,"[-0.1832813422720661, 0.9773534040967826, 0.10577463342116077]",0.0,"[0.2828698010655282, 0.02605303965299837, 0.5038443199896648]","[0.28644942175601473, 0.006964602041989565, 0.5017784628673345]",step1_final
True,self_pairs,-0.09169906929541055,left_link_2,left_joint_2,legacy_parameterized_baseline_proxy,"[0.14925657410368265, 0.9819444221481293, 0.11622231669954088]",0.09169906929541055,"[-0.34558572093131107, -0.11633545595216375, 0.23450491996636103]","[-0.3318990319997819, -0.02629206634136058, 0.24516239823906538]",step2_final
True,self_pairs,-0.09169906929541055,left_link_2,left_joint_3,legacy_parameterized_baseline_proxy,"[-0.14925657410368381, -0.9819444221481293, -0.11622231669954029]",0.09169906929541055,"[-0.324674874899385, 0.021234957590789152, 0.2507876665359667]","[-0.3383615638309143, -0.06880843202001402, 0.24013018826326238]",step2_final
True,self_pairs,-0.09169906929541055,right_link_2,right_joint_2,legacy_parameterized_baseline_proxy,"[0.9858330304545585, 0.15092362105376037, -0.07317989254435042]",0.09169906929541055,"[-0.12286883666160393, -0.3427070409534072, 0.22284566503769276]","[-0.03246886528824679, -0.32886748536808413, 0.21613513700023768]",step2_final
True,self_pairs,-0.09169906929541055,right_link_2,right_joint_3,legacy_parameterized_baseline_proxy,"[-0.9858330304545586, -0.15092362105375925, 0.07317989254435044]",0.09169906929541055,"[0.015246370905079715, -0.32156264164377546, 0.21259316209222928]","[-0.07515360046827743, -0.3354021972290984, 0.21930369012968437]",step2_final
True,self_pairs,-0.07036495625215954,base_end_mesh,left_link_4,legacy_parameterized_baseline_proxy,"[-0.03565628122206284, 0.07303231588265927, 0.9966919837373172]",0.07036495625215954,"[-0.07184658409699049, 0.07645147259645399, 0.24864754890010893]","[-0.07435553676529563, 0.0815903883085312, 0.31877973673266335]",step2_final
True,self_pairs,-0.07000000000000002,left_link_1,left_joint_1,legacy_parameterized_baseline_proxy,"[0.8880207033576141, 0.4512593712684746, -0.08822817152491302]",0.07000000000000002,"[-0.48837172985076904, -0.1692325621843338, 0.25153493881225586]","[-0.42621028061573607, -0.13764440619554058, 0.24535896680551195]",step2_final
True,self_pairs,-0.07000000000000002,left_link_1,left_joint_2,legacy_parameterized_baseline_proxy,"[-0.8880207033576141, -0.45125937126847443, 0.08822817152491341]",0.07000000000000002,"[-0.3423469921870397, -0.09502817589172963, 0.23702683607009753]","[-0.40450844142207265, -0.12661633188052285, 0.24320280807684147]",step2_final
True,self_pairs,-0.07000000000000002,right_link_1,right_joint_1,legacy_parameterized_baseline_proxy,"[0.4574429103436847, 0.8679666708622521, 0.1933386718910591]",0.07000000000000002,"[-0.1766983752215425, -0.4821592227198453, 0.1894654202040207]","[-0.14467737149748455, -0.4214015557594876, 0.20299912723639485]",step2_final
