segment_id,s_m,x_m,y_m,z_m,yaw_rad,vertical_progress_m,position_error_m,normal_error_deg,failure_reason
17,0.7300000000065996,-0.0008285819577319362,0.06999995986098882,28.20948225772362,0.0,28.134205574567673,inf,inf,GEOMETRICALLY_UNREACHABLE
17,0.5,-0.0008077181982362898,0.06999995986250447,27.97948225866332,0.0,27.904205575507373,inf,inf,GEOMETRICALLY_UNREACHABLE
17,0.25,-0.0007850401987851511,0.06999995986415193,27.729482259691903,0.0,27.654205576535954,inf,inf,GEOMETRICALLY_UNREACHABLE
17,0.0,-0.0007623621993340126,0.06999995986579939,27.479482260720484,0.0,27.404205577564536,inf,inf,GEOMETRICALLY_UNREACHABLE
18,0.06000000000054197,-0.000748348867558428,0.06999995986681741,27.325000692051677,0.0,27.24972400889573,inf,inf,GEOMETRICALLY_UNREACHABLE
18,0.0,-0.0007429061476901055,0.0699999598672128,27.265000692297995,0.0,27.189724009142047,inf,inf,GEOMETRICALLY_UNREACHABLE
19,0.22000000000199205,-0.0007272128310329392,0.06999995986835285,27.09199913823222,0.0,27.016722455076273,inf,inf,GEOMETRICALLY_UNREACHABLE
19,0.0,-0.0007072561915157568,0.06999995986980262,26.871999139135383,0.0,26.796722455979435,inf,inf,GEOMETRICALLY_UNREACHABLE
20,0.26000000000235096,-0.0006226658411686654,0.06999995987594776,25.939483572877936,0.0,25.864206889721988,inf,inf,GEOMETRICALLY_UNREACHABLE
20,0.25,-0.0006217587211904066,0.06999995987601366,25.92948357291673,0.0,25.854206889760782,inf,inf,GEOMETRICALLY_UNREACHABLE
20,0.0,-0.000599080721739268,0.06999995987766111,25.679483573945312,0.0,25.604206890789364,inf,inf,GEOMETRICALLY_UNREACHABLE
21,0.7100000000064202,-0.000585248700572479,0.06999995987866595,25.527000755303376,0.0,25.451724072147428,inf,inf,GEOMETRICALLY_UNREACHABLE
21,0.5,-0.0005661991810329402,0.06999995988004983,25.317000756160965,0.0,25.241724073005017,inf,inf,GEOMETRICALLY_UNREACHABLE
21,0.25,-0.0005435211815818014,0.06999995988169727,25.06700075718955,0.0,24.991724074033602,inf,inf,GEOMETRICALLY_UNREACHABLE
21,0.0,-0.0005208431821306629,0.06999995988334473,24.817000758218132,0.0,24.741724075062184,inf,inf,GEOMETRICALLY_UNREACHABLE
