segment_id,s_m,x_m,y_m,z_m,yaw_rad,vertical_progress_m,position_error_m,normal_error_deg,failure_reason,detail
11,0.0,0.06999982686116368,2.2668147155597584e-10,31.66076847087077,0.0,31.409027886651316,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
12,0.060760688297150985,0.06999982686116368,2.144499742284866e-10,30.800053282759265,0.0,30.54831269853981,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
12,0.0,0.0660256558979464,2.1359721387384991e-10,30.74005336387121,0.0,30.488312779651753,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.7300000001520814,0.06999982686116368,2.0961016095212353e-10,30.459481668094607,0.0,30.207741083875153,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.72,0.06999982686116368,2.094680524163099e-10,30.449481667942525,0.0,30.19774108372307,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.6,0.06999982686116368,2.0776275001248095e-10,30.329481667942527,0.0,30.077741083723073,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.48,0.0699998268611637,2.060574476086519e-10,30.209481667942526,0.0,29.95774108372307,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.36,0.06999982686116368,2.0435214520482283e-10,30.089481667942525,0.0,29.83774108372307,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.24,0.06999982686116368,2.026468428009939e-10,29.969481667942528,0.0,29.717741083723073,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.12,0.06999982686116368,2.0094154039716482e-10,29.849481667942523,0.0,29.59774108372307,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
13,0.0,0.06999982686116368,1.992362379933359e-10,29.729481667942526,0.0,29.47774108372307,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
14,0.05000000001041727,0.0699998268611637,1.9711001951650605e-10,29.57986232966758,0.0,29.328121745448126,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
14,0.0,0.06999982686116368,1.9639947684809595e-10,29.529862329657163,0.0,29.27812174543771,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
15,0.5200000001083254,0.06999982686116368,1.938361327998722e-10,29.349483010953232,0.0,29.097742426733777,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
15,0.48,0.06999982686116368,1.932676986637231e-10,29.309483010844907,0.0,29.057742426625452,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
15,0.36,0.06999982686116368,1.915623962598941e-10,29.189483010844906,0.0,28.93774242662545,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
15,0.24,0.0699998268611637,1.89857093856065e-10,29.069483010844905,0.0,28.81774242662545,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
15,0.12,0.0699998268611637,1.8815179145223605e-10,28.949483010844908,0.0,28.697742426625453,inf,inf,GEOMETRICALLY_UNREACHABLE,GEOMETRICALLY_UNREACHABLE
