point_id,region_id,u_m,v_m,x_m,y_m,z_m,nx,ny,nz
21,4,17.250000000,-0.000000000,0.070873253,0.000000000,36.301819520,0.000000000,-1.000000000,0.000000000
22,4,17.300000000,-0.000000000,0.070874274,0.000000000,36.351819520,0.000000000,-1.000000000,0.000000000
23,4,17.350000000,-0.000000000,0.070875295,0.000000000,36.401819520,0.000000000,-1.000000000,0.000000000
24,4,17.400000000,-0.000000000,0.070876315,0.000000000,36.451819520,0.000000000,-1.000000000,0.000000000
25,4,17.450000000,-0.000000000,0.070877336,0.000000000,36.501819520,0.000000000,-1.000000000,0.000000000
26,5,16.650000000,-0.000000000,0.070861005,0.000000000,35.701819520,0.000000000,-1.000000000,0.000000000
27,5,16.700000000,-0.000000000,0.070862026,0.000000000,35.751819520,0.000000000,-1.000000000,0.000000000
28,5,16.750000000,-0.000000000,0.070863047,0.000000000,35.801819520,0.000000000,-1.000000000,0.000000000
29,5,16.800000000,-0.000000000,0.070864067,0.000000000,35.851819520,0.000000000,-1.000000000,0.000000000
30,6,16.300000000,-0.000000000,0.070853861,0.000000000,35.351819520,0.000000000,-1.000000000,0.000000000
31,6,16.350000000,-0.000000000,0.070854882,0.000000000,35.401819520,0.000000000,-1.000000000,0.000000000
32,6,16.400000000,-0.000000000,0.070855902,0.000000000,35.451819520,0.000000000,-1.000000000,0.000000000
33,6,16.450000000,-0.000000000,0.070856923,0.000000000,35.501819520,0.000000000,-1.000000000,0.000000000
34,7,15.692262471,0.001494400,0.069347055,0.000000000,34.744082022,0.000000000,-1.000000000,0.000000000
35,8,15.200000000,-0.000000000,0.070831407,0.000000000,34.251819520,0.000000000,-1.000000000,0.000000000
36,8,15.250000000,-0.000000000,0.070832427,0.000000000,34.301819520,0.000000000,-1.000000000,0.000000000
37,8,15.300000000,-0.000000000,0.070833448,0.000000000,34.351819520,0.000000000,-1.000000000,0.000000000
38,8,15.350000000,-0.000000000,0.070834469,0.000000000,34.401819520,0.000000000,-1.000000000,0.000000000
39,8,15.400000000,-0.000000000,0.070835489,0.000000000,34.451819520,0.000000000,-1.000000000,0.000000000
40,9,14.650000000,-0.000000000,0.070820180,0.000000000,33.701819520,0.000000000,-1.000000000,0.000000000
41,9,14.700000000,-0.000000000,0.070821200,0.000000000,33.751819520,0.000000000,-1.000000000,0.000000000
42,9,14.750000000,-0.000000000,0.070822221,0.000000000,33.801819520,0.000000000,-1.000000000,0.000000000
43,9,14.800000000,-0.000000000,0.070823242,0.000000000,33.851819520,0.000000000,-1.000000000,0.000000000
44,9,14.850000000,-0.000000000,0.070824262,0.000000000,33.901819520,0.000000000,-1.000000000,0.000000000
45,9,14.900000000,-0.000000000,0.070825283,0.000000000,33.951819520,0.000000000,-1.000000000,0.000000000
46,9,14.950000000,-0.000000000,0.070826304,0.000000000,34.001819520,0.000000000,-1.000000000,0.000000000
47,9,15.000000000,-0.000000000,0.070827324,0.000000000,34.051819520,0.000000000,-1.000000000,0.000000000
48,10,14.300000000,-0.000000000,0.070813035,0.000000000,33.351819520,0.000000000,-1.000000000,0.000000000
49,10,14.350000000,-0.000000000,0.070814056,0.000000000,33.401819520,0.000000000,-1.000000000,0.000000000
50,10,14.400000000,-0.000000000,0.070815076,0.000000000,33.451819520,0.000000000,-1.000000000,0.000000000
51,11,13.700000000,-0.000000000,0.070800787,0.000000000,32.751819520,0.000000000,-1.000000000,0.000000000
52,11,13.750000000,-0.000000000,0.070801808,0.000000000,32.801819520,0.000000000,-1.000000000,0.000000000
53,11,13.800000000,-0.000000000,0.070802829,0.000000000,32.851819520,0.000000000,-1.000000000,0.000000000
54,11,13.850000000,-0.000000000,0.070803849,0.000000000,32.901819520,0.000000000,-1.000000000,0.000000000
